| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           0 | 39bca16b71f9a22a2495ce1eaba2af343ded9c0e |           1 | 0d3e6554551f3b97ed3a8b732ce84a5479a0d1d1 | add    | FROM       | alpine:3.17                                                                             |          |        11 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           0 | 39bca16b71f9a22a2495ce1eaba2af343ded9c0e |           1 | 0d3e6554551f3b97ed3a8b732ce84a5479a0d1d1 | delete | FROM       | alpine:3.20                                                                             |          |        11 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           1 | 0d3e6554551f3b97ed3a8b732ce84a5479a0d1d1 |           2 | 29ab7d7470afcc4c19b1ffd86d3744dfb291a433 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           1 | 0d3e6554551f3b97ed3a8b732ce84a5479a0d1d1 |           2 | 29ab7d7470afcc4c19b1ffd86d3744dfb291a433 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           2 | 29ab7d7470afcc4c19b1ffd86d3744dfb291a433 |           3 | 828635390ebf9412daf196182289eed55b6ee687 | add    | FROM       | alpine:3.20                                                                             |          |        11 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           2 | 29ab7d7470afcc4c19b1ffd86d3744dfb291a433 |           3 | 828635390ebf9412daf196182289eed55b6ee687 | delete | FROM       | alpine:3.17                                                                             |          |        11 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           2 | 29ab7d7470afcc4c19b1ffd86d3744dfb291a433 |           3 | 828635390ebf9412daf196182289eed55b6ee687 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 2        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           2 | 29ab7d7470afcc4c19b1ffd86d3744dfb291a433 |           3 | 828635390ebf9412daf196182289eed55b6ee687 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 2        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           3 | 828635390ebf9412daf196182289eed55b6ee687 |           4 | 8616b85aa6ac2edd912a02fb6dec378c13d46483 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           3 | 828635390ebf9412daf196182289eed55b6ee687 |           4 | 8616b85aa6ac2edd912a02fb6dec378c13d46483 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           3 | 828635390ebf9412daf196182289eed55b6ee687 |           4 | 8616b85aa6ac2edd912a02fb6dec378c13d46483 | add    | FROM       | golang:1.20-alpine AS builder                                                           |          |         2 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           3 | 828635390ebf9412daf196182289eed55b6ee687 |           4 | 8616b85aa6ac2edd912a02fb6dec378c13d46483 | delete | FROM       | golang:1.19.4-alpine AS builder                                                         |          |         2 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           3 | 828635390ebf9412daf196182289eed55b6ee687 |           4 | 8616b85aa6ac2edd912a02fb6dec378c13d46483 | add    | FROM       | alpine:3.17                                                                             |          |        11 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           3 | 828635390ebf9412daf196182289eed55b6ee687 |           4 | 8616b85aa6ac2edd912a02fb6dec378c13d46483 | delete | FROM       | alpine:3.17.0                                                                           |          |        11 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           4 | 8616b85aa6ac2edd912a02fb6dec378c13d46483 |           5 | 16cd03396d18539f0865df6663ab2f68cd1cce92 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 2        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           4 | 8616b85aa6ac2edd912a02fb6dec378c13d46483 |           5 | 16cd03396d18539f0865df6663ab2f68cd1cce92 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 2        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |           5 | 16cd03396d18539f0865df6663ab2f68cd1cce92 |           6 | 4c7c5b00ac5701129c3520b75932e314f2582fe8 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 2        |        18 |
